,index,ID,inchikey,sdftitle,order,set,CVfold,NR.AhR,NR.AR,NR.AR.LBD,NR.Aromatase,NR.ER,NR.ER.LBD,NR.PPAR.gamma,SR.ARE,SR.ATAD5,SR.HSE,SR.MMP,SR.p53,smiles
2022,2023,NCGC00095622-04,FDGQSTZJBFJUBT-UHFFFAOYSA-N,NCGC00095622-04,2023,training,,,,,,,,,0.0,,0.0,,,O=c1[nH]cnc2nc[nH]c12
2023,2024,NCGC00262912-01,BYNBAMHAURJNTR-UHFFFAOYSA-N,NCGC00262912-01,2024,training,,,,,,,,,0.0,,0.0,,,O=c1[nH]c2ccccc2n1C1CCNCC1
2024,2025,NCGC00263653-01,ZXRVKCBLGJOCEE-UHFFFAOYSA-N,NCGC00263653-01,2025,training,2.0,,,,,,,,0.0,,0.0,,,O=c1[nH]oc2c1CCNC2
2025,2026,NCGC00263858-02,YAYRGNWWLMLWJE-UHFFFAOYSA-L,NCGC00263858-02,2026,training,,,,,,,,,1.0,,0.0,,,N[Pt]1(N)OC(=O)C2(CCC2)C(=O)O1
2026,2027,NCGC00015846-15,VYMDGNCVAMGZFE-UHFFFAOYSA-N,NCGC00015846-15,2027,training,1.0,,,,,,,,0.0,,0.0,,,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
2027,2028,NCGC00159415-04,XWALNWXLMVGSFR-HLXURNFRSA-N,NCGC00159415-04,2028,training,,,,,,,,,1.0,,0.0,,,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
2028,2029,NCGC00163355-05,COHYTHOBJLSHDF-BUHFOSPRSA-N,NCGC00163355-05,2029,training,2.0,,,,,,,,1.0,,0.0,,,O=C1/C(=C2\Nc3ccccc3C2=O)Nc2ccccc21
2029,2030,NCGC00025132-04,TVZCRIROJQEVOT-CABCVRRESA-N,NCGC00025132-04,2030,training,2.0,,,,,,,,0.0,,0.0,,,CC1(C)Oc2ccc(C#N)cc2[C@@H](N2CCCC2=O)[C@@H]1O
2030,2031,NCGC00090691-03,BXZVVICBKDXVGW-NKWVEPMBSA-N,NCGC00090691-03,2031,training,2.0,,,,,,,,0.0,,0.0,,,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1
2031,2032,NCGC00065890-05,NQDJXKOVJZTUJA-UHFFFAOYSA-N,NCGC00065890-05,2032,training,2.0,,,,,,,,0.0,,0.0,,,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
2032,2033,NCGC00178811-03,QOLRLLFJMZLYQJ-LOBDNJQFSA-N,NCGC00178811-03,2033,training,1.0,,,,,,,,0.0,,0.0,,,C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC(=O)[C@]3(C)[C@H]1[C@@H]2C
2033,2034,NCGC00025315-02,TZJUVVIWVWFLCD-UHFFFAOYSA-N,NCGC00025315-02,2034,training,1.0,,,,,,,,0.0,,0.0,,,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1
2034,2035,NCGC00021466-05,CHNXZKVNWQUJIB-CEGNMAFCSA-N,NCGC00021466-05,2035,training,1.0,,,,,,,,0.0,,0.0,,,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
2035,2036,NCGC00015590-06,YEJCDKJIEMIWRQ-UHFFFAOYSA-N,NCGC00015590-06,2036,training,3.0,,,,,,,,0.0,,0.0,,,O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1
2036,2037,NCGC00015908-09,JVGBTTIJPBFLTE-UHFFFAOYSA-N,NCGC00015908-09,2037,training,,,,,,,,,0.0,,0.0,,,O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccccc3O1)CC2
2037,2038,NCGC00263909-02,WOXKDUGGOYFFRN-IIBYNOLFSA-N,NCGC00263909-02,2038,training,,,,,,,,,0.0,,0.0,,,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O
2038,2039,NCGC00274076-01,HMKKIXGYKWDQSV-UHFFFAOYSA-N,NCGC00274076-01,2039,training,3.0,,,,,,,,0.0,,0.0,,,CCCCCC(C=O)=Cc1ccccc1
2039,2040,NCGC00253645-01,VZBLASFLFFMMCM-UHFFFAOYSA-N,NCGC00253645-01,2040,training,,,,,,,,,0.0,,0.0,,,COc1ccc2cc(C=O)ccc2c1
2040,2041,NCGC00166206-04,ZWLUXSQADUDCSB-UHFFFAOYSA-N,NCGC00166206-04,2041,training,,,,,,,,,0.0,,0.0,,,O=Cc1ccccc1C=O
2041,2042,NCGC00253647-01,NTACMHVXGGGRQU-UHFFFAOYSA-N,NCGC00253647-01,2042,training,,,,,,,,,0.0,,0.0,,,CCOC(=O)C(=O)c1csc(NC=O)n1
2042,2043,NCGC00160493-02,PMHFLBQRALFMRT-UHFFFAOYSA-N,NCGC00160493-02,2043,training,,,,,,,,,0.0,,0.0,,,NNC(=O)CP(=O)(c1ccccc1)c1ccccc1
2043,2044,NCGC00253673-01,ODTQUKVFOLFLIQ-UHFFFAOYSA-N,NCGC00253673-01,2044,training,4.0,,,,,,,,0.0,,0.0,,,CC(C)OP(=O)(CP(=O)(OC(C)C)OC(C)C)OC(C)C
2044,2045,NCGC00159553-02,WZMQMKNCWDCCMT-UHFFFAOYSA-N,NCGC00159553-02,2045,training,4.0,,,,,,,,0.0,,0.0,,,O=c1[nH]c2cc(C(F)(F)F)c(N3CCOCC3)cc2n(CP(=O)(O)O)c1=O
2045,2046,NCGC00024512-07,BZQFBWGGLXLEPQ-REOHCLBHSA-N,NCGC00024512-07,2046,training,,,,,,,,,0.0,,0.0,,,N[C@@H](COP(=O)(O)O)C(=O)O
2046,2047,NCGC00163319-03,UDMBCSSLTHHNCD-KQYNXXCUSA-N,NCGC00163319-03,2047,training,,,,,,,,,0.0,,0.0,,,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
2047,2048,NCGC00179435-06,HOMGKSMUEGBAAB-UHFFFAOYSA-N,NCGC00179435-06,2048,training,0.0,,,,,,,,0.0,,0.0,,,O=P1(NCCCl)OCCCN1CCCl
2048,2049,NCGC00253741-01,UUARTHQJSZTOEM-UHFFFAOYSA-N,NCGC00253741-01,2049,training,,,,,,,,,0.0,,0.0,,,CCS(=O)(=O)c1ccc(OC)c(C(=O)OC)c1
2049,2050,NCGC00016741-09,HJLSLZFTEKNLFI-UHFFFAOYSA-N,NCGC00016741-09,2050,training,3.0,,,,,,,,0.0,,0.0,,,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
2050,2051,NCGC00160631-02,JISACBWYRJHSMG-UHFFFAOYSA-N,NCGC00160631-02,2051,training,,,,,,,,,0.0,,0.0,,,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1
2051,2052,NCGC00016251-13,DBABZHXKTCFAPX-UHFFFAOYSA-N,NCGC00016251-13,2052,training,1.0,,,,,,,,0.0,,0.0,,,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1
2052,2053,NCGC00091225-06,XPDVQPODLRGWPL-UHFFFAOYSA-N,NCGC00091225-06,2053,training,4.0,,,,,,,,0.0,,0.0,,,O=C(O)c1ccc(S(=O)(=O)N(Cl)Cl)cc1
2053,2054,NCGC00016879-06,NGBFQHCMQULJNZ-UHFFFAOYSA-N,NCGC00016879-06,2054,training,,,,,,,,,0.0,,0.0,,,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1
2054,2055,NCGC00015216-17,RKWGIWYCVPQPMF-UHFFFAOYSA-N,NCGC00015216-17,2055,training,1.0,,,,,,,,0.0,,0.0,,,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
2055,2056,NCGC00253634-01,AZEPYUPSYWCRBG-UHFFFAOYSA-N,NCGC00253634-01,2056,training,,,,,,,,,0.0,,0.0,,,NC(=O)NS(=O)(=O)c1ccc(Cl)cc1
2056,2057,NCGC00016572-12,WMPXPUYPYQKQCX-UHFFFAOYSA-N,NCGC00016572-12,2057,training,4.0,,,,,,,,0.0,,0.0,,,COc1cc(NS(=O)(=O)c2ccc(N)cc2)ncn1
2057,2058,NCGC00016323-09,XOXHILFPRYWFOD-UHFFFAOYSA-N,NCGC00016323-09,2058,training,1.0,,,,,,,,0.0,,0.0,,,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1
2058,2059,NCGC00090903-11,NCEXYHBECQHGNR-QZQOTICOSA-N,NCGC00090903-11,2059,training,2.0,,,,,,,,0.0,,0.0,,,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
2059,2060,NCGC00018243-09,ASWVTGNCAZCNNR-UHFFFAOYSA-N,NCGC00018243-09,2060,training,3.0,,,,,,,,0.0,,0.0,,,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
2060,2061,NCGC00016386-06,QPPBRPIAZZHUNT-UHFFFAOYSA-N,NCGC00016386-06,2061,training,3.0,,,,,,,,0.0,,0.0,,,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
2061,2062,NCGC00253749-01,DZQVFHSCSRACSX-UHFFFAOYSA-N,NCGC00253749-01,2062,training,,,,,,,,,0.0,,0.0,,,Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1
2062,2063,NCGC00016530-07,GPTONYMQFTZPKC-UHFFFAOYSA-N,NCGC00016530-07,2063,training,3.0,,,,,,,,0.0,,0.0,,,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1
2063,2064,NCGC00016309-06,JNMRHUJNCSQMMB-UHFFFAOYSA-N,NCGC00016309-06,2064,training,2.0,,,,,,,,0.0,,0.0,,,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
2064,2065,NCGC00016367-08,SKVLYVHULOWXTD-UHFFFAOYSA-N,NCGC00016367-08,2065,training,2.0,,,,,,,,0.0,,0.0,,,O=C(O)CCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
2065,2066,NCGC00016337-05,PBMSWVPMRUJMPE-UHFFFAOYSA-N,NCGC00016337-05,2066,training,4.0,,,,,,,,0.0,,0.0,,,O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
2066,2067,NCGC00016612-05,PJSFRIWCGOHTNF-UHFFFAOYSA-N,NCGC00016612-05,2067,training,4.0,,,,,,,,0.0,,0.0,,,COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC
2067,2068,NCGC00160667-03,SVYBEBLNQGDRHF-UHFFFAOYSA-N,NCGC00160667-03,2068,training,,,,,,,,,0.0,,0.0,,,CCc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
2068,2069,NCGC00165787-03,IULOBWFWYDMECP-UHFFFAOYSA-N,NCGC00165787-03,2069,training,1.0,,,,,,,,0.0,,0.0,,,O=C(O)Cc1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1
2069,2070,NCGC00160679-02,MMDWBZHWHFGVHF-UHFFFAOYSA-N,NCGC00160679-02,2070,training,,,,,,,,,1.0,,0.0,,,O=[N+]([O-])c1cccc(S(=O)(=O)NCCNS(=O)(=O)c2cccc([N+](=O)[O-])c2)c1
2070,2071,NCGC00025177-08,FIAFUQMPZJWCLV-UHFFFAOYSA-N,NCGC00025177-08,2071,training,,,,,,,,,0.0,,0.0,,,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1
2071,2072,NCGC00166262-03,UVCJGUGAGLDPAA-UHFFFAOYSA-N,NCGC00166262-03,2072,training,2.0,,,,,,,,0.0,,0.0,,,O=S(=O)(O)c1ccc2[nH]c(-c3ccccc3)nc2c1
2072,2073,NCGC00167426-03,BANIDACEBXZGNK-UHFFFAOYSA-N,NCGC00167426-03,2073,training,2.0,,,,,,,,0.0,,0.0,,,CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1.CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1.O=S(=O)(O)CCS(=O)(=O)O
2073,2074,NCGC00159483-04,JCBIVZZPXRZKTI-UHFFFAOYSA-N,NCGC00159483-04,2074,training,,,,,,,,,0.0,,0.0,,,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=S(=O)(O)O
2074,2075,NCGC00178417-03,RTCDDYYZMGGHOE-BJRDGYLYSA-N,NCGC00178417-03,2075,training,3.0,,,,,,,,0.0,,0.0,,,NC[C@H]1O[C@H](O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C(O)[C@H](N)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]1O.O=S(=O)(O)O
2075,2076,NCGC00178790-03,YGTPKDKJVZOVCO-KELBJJLKSA-N,NCGC00178790-03,2076,training,,,,,,,,,0.0,,0.0,,,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]1O.O=S(=O)(O)O
2076,2077,NCGC00263910-02,GEKOQGPXZRQQHJ-UHFFFAOYSA-N,NCGC00263910-02,2077,training,,,,,,,,,0.0,,0.0,,,CC(CC(C(N)=O)(c1ccccc1)c1ccccc1)N(C)C.O=S(=O)(O)O
2077,2078,NCGC00015830-08,RXBKMJIPNDOHFR-UHFFFAOYSA-N,NCGC00015830-08,2078,training,2.0,,,,,,,,0.0,,0.0,,,NNCCc1ccccc1.O=S(=O)(O)O
2078,2079,NCGC00016272-05,SBENMBSICFIYDM-UHFFFAOYSA-N,NCGC00016272-05,2079,training,,,,,,,,,0.0,,0.0,,,N=C(N)NCCN1CCCCCCC1.O=S(=O)(O)O.O=S(=O)(O)O
2079,2080,NCGC00179265-03,AGFWIZQEWFGATK-FYIKLNIRSA-N,NCGC00179265-03,2080,training,,,,,,,,,0.0,,0.0,,,CCN[C@@H]1C[C@H](N)[C@@H](OC2OC(CN)=CCC2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O.CCN[C@@H]1C[C@H](N)[C@@H](OC2OC(CN)=CCC2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O
2080,2081,NCGC00179366-03,AYIRNRDRBQJXIF-NXEZZACHSA-N,NCGC00179366-03,2081,training,2.0,,,,,,,,0.0,,0.0,,,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1
2081,2082,NCGC00090905-12,COVZYZSDYWQREU-UHFFFAOYSA-N,NCGC00090905-12,2082,training,4.0,,,,,,,,0.0,,0.0,,,CS(=O)(=O)OCCCCOS(C)(=O)=O
2082,2083,NCGC00263530-01,KMZQAVXSMUKBPD-DJWKRKHSSA-N,NCGC00263530-01,2083,training,3.0,,,,,,,,0.0,,0.0,,,O=C(CS(=O)Cc1ccco1)NC/C=C\COc1cc(CN2CCCCC2)ccn1
2083,2084,NCGC00095176-08,YFGHCGITMMYXAQ-UHFFFAOYSA-N,NCGC00095176-08,2084,training,2.0,,,,,,,,0.0,,0.0,,,NC(=O)CS(=O)C(c1ccccc1)c1ccccc1
2084,2085,NCGC00253657-01,YEVQOPOKMKTXMD-UHFFFAOYSA-N,NCGC00253657-01,2085,training,,,,,,,,,0.0,,0.0,,,COc1cc(S(N)(=O)=O)cc(C(=O)O)c1OC
2085,2086,NCGC00253616-01,MKDYDRQLKPGNNU-UHFFFAOYSA-N,NCGC00253616-01,2086,training,,,,,,,,,0.0,,0.0,,,COC(=O)c1cc(S(N)(=O)=O)ccc1OC
2086,2087,NCGC00160444-02,NENBAISIHCWPKP-UHFFFAOYSA-N,NCGC00160444-02,2087,training,1.0,,,,,,,,0.0,,0.0,,,NS(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
2087,2088,NCGC00013287-07,UCAGLBKTLXCODC-UHFFFAOYSA-N,NCGC00013287-07,2088,training,4.0,,,,,,,,0.0,,0.0,,,NS(=O)(=O)c1ccc(C(=O)O)cc1
2088,2089,NCGC00160651-02,RXXXPZYBZLDQKP-UHFFFAOYSA-N,NCGC00160651-02,2089,training,0.0,,,,,,,,0.0,,0.0,,,NS(=O)(=O)c1ccc(NC(=O)CCC(=O)O)cc1
2089,2090,NCGC00015074-14,BZKPWHYZMXOIDC-UHFFFAOYSA-N,NCGC00015074-14,2090,training,3.0,,,,,,,,0.0,,0.0,,,CC(=O)Nc1nnc(S(N)(=O)=O)s1
2090,2091,NCGC00015149-16,MAEIEVLCKWDQJH-UHFFFAOYSA-N,NCGC00015149-16,2091,training,0.0,,,,,,,,0.0,,0.0,,,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
2091,2092,NCGC00249907-01,HMHVCUVYZFYAJI-UHFFFAOYSA-N,NCGC00249907-01,2092,training,,,,,,,,,0.0,,0.0,,,NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1
2092,2093,NCGC00021876-04,MZZGOOYMKKIOOX-VKHMYHEASA-N,NCGC00021876-04,2093,training,2.0,,,,,,,,0.0,,0.0,,,[N-]=[N+]=CC(=O)OC[C@H](N)C(=O)O
2093,2094,NCGC00021569-09,GBXSMTUPTTWBMN-XIRDDKMYSA-N,NCGC00021569-09,2094,training,0.0,,,,,,,,0.0,,0.0,,,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
2094,2095,NCGC00164593-02,LZFZMUMEGBBDTC-CFVMTHIKSA-N,NCGC00164593-02,2095,training,0.0,,,,,,,,0.0,,0.0,,,C[C@H](N[C@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
2095,2096,NCGC00164583-02,BWWVAEOLVKTZFQ-ISVUSNJMSA-N,NCGC00164583-02,2096,training,,,,,,,,,0.0,,0.0,,,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O
2096,2097,NCGC00178944-03,AVKUERGKIZMTKX-NJBDSQKTSA-N,NCGC00178944-03,2097,training,2.0,,,,,,,,0.0,,0.0,,,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O
2097,2098,NCGC00021679-07,BVGLIYRKPOITBQ-ANPZCEIESA-N,NCGC00021679-07,2098,training,2.0,,,,,,,,0.0,,0.0,,,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O.CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O.c1ccc(CNCCNCc2ccccc2)cc1
2098,2099,NCGC00167505-02,DJSLTDBPKHORNY-XMMWENQYSA-N,NCGC00167505-02,2099,training,,,,,,,,,0.0,,0.0,,,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1.CS(=O)(=O)O
2099,2100,NCGC00013082-04,GTZCVFVGUGFEME-HNQUOIGGSA-N,NCGC00013082-04,2100,training,,,,,,,,,0.0,,0.0,,,O=C(O)/C=C(\CC(=O)O)C(=O)O
2100,2101,NCGC00263559-01,GBFLZEXEOZUWRN-UHFFFAOYSA-N,NCGC00263559-01,2101,training,,,,,,,,,0.0,,0.0,,,NC(CSCC(=O)O)C(=O)O
2101,2102,NCGC00161670-06,FAXGPCHRFPCXOO-LXTPJMTPSA-N,NCGC00161670-06,2102,training,,,,,,,,,0.0,,0.0,,,CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C
2102,2103,NCGC00164513-02,GNZCRYWFWKFIDM-UHFFFAOYSA-N,NCGC00164513-02,2103,training,4.0,,,,,,,,0.0,,0.0,,,O=C(Nc1ccc(C(=O)O)c(O)c1)c1ccccc1
2103,2104,NCGC00091051-04,ALYNCZNDIQEVRV-UHFFFAOYSA-N,NCGC00091051-04,2104,training,0.0,,,,,,,,0.0,,0.0,,,Nc1ccc(C(=O)O)cc1
2104,2105,NCGC00091175-03,RWZYAGGXGHYGMB-UHFFFAOYSA-N,NCGC00091175-03,2105,training,0.0,,,,,,,,0.0,,0.0,,,Nc1ccccc1C(=O)O
2105,2106,NCGC00253617-01,BLHCMGRVFXRYRN-UHFFFAOYSA-N,NCGC00253617-01,2106,training,,,,,,,,,0.0,,0.0,,,O=C(O)c1ccc(O)nc1
2106,2107,NCGC00274279-01,VFAVNRVDTAPBNR-UHFFFAOYSA-N,NCGC00274279-01,2107,training,,,,,,,,,0.0,,0.0,,,CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1C(=O)N(C)CC1C(=O)O
2107,2108,NCGC00016660-06,QRZAKQDHEVVFRX-UHFFFAOYSA-N,NCGC00016660-06,2108,training,0.0,,,,,,,,0.0,,0.0,,,O=C(O)Cc1ccc(-c2ccccc2)cc1
2108,2109,NCGC00159477-05,WLJVXDMOQOGPHL-UHFFFAOYSA-N,NCGC00159477-05,2109,training,1.0,,,,,,,,0.0,,0.0,,,O=C(O)Cc1ccccc1
2109,2110,NCGC00091345-04,WNLRTRBMVRJNCN-UHFFFAOYSA-N,NCGC00091345-04,2110,training,1.0,,,,,,,,0.0,,0.0,,,O=C(O)CCCCC(=O)O
2110,2111,NCGC00159422-04,YTGJWQPHMWSCST-UHFFFAOYSA-N,NCGC00159422-04,2111,training,1.0,,,,,,,,0.0,,0.0,,,CC(S)C(=O)NCC(=O)O
2111,2112,NCGC00091396-05,ISAOCJYIOMOJEB-UHFFFAOYSA-N,NCGC00091396-05,2112,training,2.0,,,,,,,,0.0,,0.0,,,O=C(c1ccccc1)C(O)c1ccccc1
2112,2113,NCGC00261971-01,AMHPTVWBZSYFSS-UHFFFAOYSA-N,NCGC00261971-01,2113,training,,,,,,,,,0.0,,0.0,,,CN1C2CCC(C)(C)C1CC(OC(=O)C(O)(c1cccs1)c1cccs1)C2
2113,2114,NCGC00253766-01,SAXHIDRUJXPDOD-UHFFFAOYSA-N,NCGC00253766-01,2114,training,,,,,,,,,0.0,,0.0,,,CCOC(=O)C(O)c1ccccc1
2114,2115,NCGC00159434-04,IVQOFBKHQCTVQV-UHFFFAOYSA-N,NCGC00159434-04,2115,training,0.0,,,,,,,,0.0,,0.0,,,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1
2115,2116,NCGC00024643-10,UYNVMODNBIQBMV-UHFFFAOYSA-N,NCGC00024643-10,2116,training,,,,,,,,,0.0,,0.0,,,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1
2116,2117,NCGC00016366-04,ZMISODWVFHHWNR-UHFFFAOYSA-N,NCGC00016366-04,2117,training,1.0,,,,,,,,0.0,,0.0,,,OC(c1ccccc1)(c1ccccc1)C1CCNCC1
2117,2118,NCGC00016624-05,OGAKLTJNUQRZJU-UHFFFAOYSA-N,NCGC00016624-05,2118,training,,,,,,,,,0.0,,0.0,,,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
2118,2119,NCGC00165862-02,WRUUGTRCQOWXEG-UHFFFAOYSA-N,NCGC00165862-02,2119,training,,,,,,,,,0.0,,0.0,,,NCCC(O)(P(=O)(O)O)P(=O)(O)O
2119,2120,NCGC00013289-09,RQXCLMGKHJWMOA-UHFFFAOYSA-N,NCGC00013289-09,2120,training,,,,,,,,,0.0,,0.0,,,OC(CCN1CCCCC1)(c1ccccc1)c1ccccc1
2120,2121,NCGC00015760-12,QHGUCRYDKWKLMG-UHFFFAOYSA-N,NCGC00015760-12,2121,training,2.0,,,,,,,,0.0,,0.0,,,NCC(O)c1ccc(O)cc1
2121,2122,NCGC00018230-09,PTVWPYVOOKLBCG-UHFFFAOYSA-N,NCGC00018230-09,2122,training,4.0,,,,,,,,0.0,,0.0,,,OCC(O)CN1CCN(c2ccccc2)CC1
2122,2123,NCGC00253761-01,KSQCNASWXSCJTD-UHFFFAOYSA-N,NCGC00253761-01,2123,training,,,,,,,,,0.0,,0.0,,,COc1ccccc1N1CCN(CC(O)COc2cc(OC)c(OC)c(OC)c2)CC1
2123,2124,NCGC00095089-10,RFHAOTPXVQNOHP-UHFFFAOYSA-N,NCGC00095089-10,2124,training,1.0,,,,,,,,0.0,,0.0,,,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
2124,2125,NCGC00015924-12,YRCWQPVGYLYSOX-UHFFFAOYSA-N,NCGC00015924-12,2125,training,2.0,,,,,,,,0.0,,0.0,,,CNCC(O)c1ccc(O)cc1
2125,2126,NCGC00095748-04,OGBUMNBNEWYMNJ-UHFFFAOYSA-N,NCGC00095748-04,2126,training,,,,,,,,,0.0,,0.0,,,CCCCCCCCCCCCCCCCCCOCC(O)CO
2126,2127,NCGC00160563-02,ITMSAWKLJVGBIT-UHFFFAOYSA-N,NCGC00160563-02,2127,training,1.0,,,,,,,,0.0,,0.0,,,CCOC(=O)NC(O)C(Cl)(Cl)Cl
2127,2128,NCGC00024452-04,UQRORFVVSGFNRO-UTINFBMNSA-N,NCGC00024452-04,2128,training,1.0,,,,,,,,0.0,,0.0,,,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
2128,2129,NCGC00263893-02,VQHSOMBJVWLPSR-JVCRWLNRSA-N,NCGC00263893-02,2129,training,2.0,,,,,,,,0.0,,0.0,,,OC[C@@H](O)[C@@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)CO
2129,2130,NCGC00095043-07,DGQOCLATAPFASR-UHFFFAOYSA-N,NCGC00095043-07,2130,training,1.0,,,,,,,,0.0,,0.0,,,O=C1C(O)=C(O)C(=O)C(O)=C1O
2130,2131,NCGC00015823-17,QYSPLQLAKJAUJT-UHFFFAOYSA-N,NCGC00015823-17,2131,training,0.0,,,,,,,,0.0,,0.0,,,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
2131,2132,NCGC00016889-06,LZNWYQJJBLGYLT-UHFFFAOYSA-N,NCGC00016889-06,2132,training,0.0,,,,,,,,0.0,,0.0,,,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O
2132,2133,NCGC00253709-01,LZAYOZUFUAMFLD-UHFFFAOYSA-N,NCGC00253709-01,2133,training,,,,,,,,,0.0,,0.0,,,OC1(c2ccc(Cl)cc2)CCNCC1
2133,2134,NCGC00253684-01,KQKFQBTWXOGINC-UHFFFAOYSA-N,NCGC00253684-01,2134,training,,,,,,,,,0.0,,0.0,,,OC1(c2ccccc2)CCNCC1
2134,2135,NCGC00164629-02,UMJHTFHIQDEGKB-UHFFFAOYSA-N,NCGC00164629-02,2135,training,0.0,,,,,,,,1.0,,0.0,,,C=CCc1cc(OC)c(O)c(C(=O)NCCO)c1
